#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns=""""><DataTable Code=""TABLECODE7480"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Household income by region, household type, and source of household income</Name><Dimension Code=""PERIOD"" HasMetadata=""true"" Display=""labels""><Name LocaleIsoCode=""en"">Year</Name><Member Code=""199806"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">1998</Name></Member><Member Code=""199906"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">1999</Name></Member><Member Code=""200006"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2000</Name></Member><Member Code=""200106"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2001</Name></Member><Member Code=""200206"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2002</Name></Member><Member Code=""200306"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2003</Name></Member><Member Code=""200406"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2004</Name></Member><Member Code=""200506"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2005</Name></Member><Member Code=""200606"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2006</Name></Member><Member Code=""200706"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2007</Name></Member><Member Code=""200806"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2008</Name></Member><Member Code=""200906"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2009</Name></Member><Member Code=""201006"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2010</Name></Member><Member Code=""201106"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2011</Name></Member><Member Code=""201206"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2012</Name></Member><Member Code=""201306"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2013</Name></Member><Member Code=""201406"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2014</Name></Member><Member Code=""201506"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2015</Name></Member><Member Code=""201606"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2016</Name></Member><Member Code=""201706"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2017</Name></Member><Member Code=""201806"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2018</Name></Member><Member Code=""201906"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2019</Name></Member><Member Code=""202006"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2020</Name></Member><Member Code=""202106"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2021</Name></Member><Member Code=""202206"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2022</Name></Member><Member Code=""202306"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">2023</Name></Member></Dimension><Dimension Code=""LGR"" HasMetadata=""true"" Display=""labels""><Name LocaleIsoCode=""en"">Region</Name><Member Code=""98"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Total Regions</Name><ChildMember Code=""1"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Northland Region</Name></ChildMember><ChildMember Code=""2"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Auckland Region</Name></ChildMember><ChildMember Code=""3"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Waikato Region</Name></ChildMember><ChildMember Code=""4"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Bay of Plenty Region</Name></ChildMember><ChildMember Code=""5"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Gisborne/Hawkes Bay Regions</Name></ChildMember><ChildMember Code=""6"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Taranaki Region</Name></ChildMember><ChildMember Code=""7"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Manawatu-Wanganui Region</Name></ChildMember><ChildMember Code=""8"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Wellington Region</Name></ChildMember><ChildMember Code=""9"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Tasman/Nelson/Marlborough/West Coast Regions</Name></ChildMember><ChildMember Code=""10"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Canterbury Region</Name></ChildMember><ChildMember Code=""11"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Otago Region</Name></ChildMember><ChildMember Code=""12"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Southland Region</Name></ChildMember></Member></Dimension><Dimension Code=""HHTYPE"" HasMetadata=""true"" Display=""labels""><Name LocaleIsoCode=""en"">Household Type</Name><Member Code=""98"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Total Household Type</Name></Member></Dimension><Dimension Code=""MEASURE"" Display=""labels""><Name LocaleIsoCode=""en"">Measure</Name><Member Code=""AV_WS_INC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Average Wage and Salary Income</Name></Member><Member Code=""AV_SE_INC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Average Self-employment Income</Name></Member><Member Code=""AV_GT_INC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Average Government Transfer Income</Name></Member><Member Code=""AV_INC_ALL_SOUR"" HasMetadata=""true"" HasOnlyUnitMetadata=""true""><Name LocaleIsoCode=""en"">Average Income from All Sources collected</Name></Member><Member Code=""MED_WS_INC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Median Wage and Salary Income</Name></Member><Member Code=""MED_SE_INC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Median Self-employment Income</Name></Member><Member Code=""MED_GT_INC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Median Government Transfer Income</Name></Member><Member Code=""MED_INC_ALL_SOUR"" HasMetadata=""true"" HasOnlyUnitMetadata=""true""><Name LocaleIsoCode=""en"">Median Income from All Sources collected</Name></Member><Member Code=""NO_PEOPLE"" HasMetadata=""true"" HasOnlyUnitMetadata=""true""><Name LocaleIsoCode=""en"">Number of households (000)</Name></Member></Dimension><Tabulation Axis=""horizontal""><Dimension Code=""HHTYPE"" /><Dimension Code=""MEASURE"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""PERIOD"" /><Dimension Code=""LGR"" /></Tabulation><Tabulation Axis=""page"" /><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>-1</Decimals><SkipEmptyLines>false</SkipEmptyLines><FullyFillPage>false</FullyFillPage><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>true</SkipLineHierarchy><SkipColHierarchy>true</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>true</IncludeFlagColumn><IncludeTimeSeriesId>false</IncludeTimeSeriesId><DoBarChart>false</DoBarChart><FreezePanes>false</FreezePanes><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://nzdotstat.stats.govt.nz/wbos/View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,,,,,,,,,
"Dataset: Household income by region, household type, and source of household income",,,,,,,,,,,,,,,,,,,,
Household Type,,,Total Household Type,,,,,,,,,,,,,,,,,
Measure,,,Average Wage and Salary Income,,Average Self-employment Income,,Average Government Transfer Income,,Average Income from All Sources collected,,Median Wage and Salary Income,,Median Self-employment Income,,Median Government Transfer Income,,Median Income from All Sources collected,,Number of households (000),
Year,Region,,,,,,,,,,,,,,,,,,,
1998,Total Regions,,,618,,180,,111,,910,,505,,0,,0,,756,,1227.2
,  Northland Region,,,408,,147,,146,,702,,166,,0,,0,,575,,45.3
,  Auckland Region,,,735,,229,,103,,1066,,614,,0,,0,,900,,368.5
,  Waikato Region,,,559,,185,,119,,864,,450,,0,,0,,729,,113.3
,  Bay of Plenty Region,,,488,,218,,134,,841,,386,,0,,0,,701,,74.7
,  Gisborne/Hawkes Bay Regions,,,493,,155,,133,,784,,400,,0,,0,,628,,63
,  Taranaki Region,,,504,,185,,109,,797,,448,,0,,0,,679,,34.5
,  Manawatu-Wanganui Region,,,440,,127,,134,,701,,290,,0,,0,,608,,74.9
,  Wellington Region,,,809,,171,,92,,1072,,686,,0,,0,,910,,143.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,498,,163,,96,,757,,420,,0,,0,,662,,52.2
,  Canterbury Region,,,567,,117,,111,,794,,485,,0,,0,,702,,159.5
,  Otago Region,,,546,,132,,108,,786,,460,,0,,0,,690,,66.4
,  Southland Region,,,632,,216,,90,,937,,584,,0,,0,,786,,31.8
1999,Total Regions,,,633,,204,,107,,943,,518,,0,,0,,786,,1240.1
,  Northland Region,,,403,,207,,155,,754,,126,,0,,81,,581,,45.8
,  Auckland Region,,,737,,238,,99,,1074,,600,,0,,0,,914,,376.8
,  Waikato Region,,,537,,190,,116,,839,,434,,0,,0,,720,,118.6
,  Bay of Plenty Region,,,511,,224,,127,,865,,375,,0,,0,,767,,76.6
,  Gisborne/Hawkes Bay Regions,,,545,,168,,129,,846,,450,,0,,0,,744,,61
,  Taranaki Region,,,478,,226,,97,,796,,365,,0,,0,,649,,34.7
,  Manawatu-Wanganui Region,,,481,,148,,113,,737,,378,,0,,0,,643,,74.8
,  Wellington Region,,,824,,186,,98,,1107,,723,,0,,0,,959,,146.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,527,,171,,105,,800,,420,,0,,0,,690,,51.4
,  Canterbury Region,,,627,,207,,97,,931,,560,,0,,0,,774,,160.5
,  Otago Region,,,541,,171,,107,,818,,450,,0,,0,,675,,61.9
,  Southland Region,,,596,,167,,85,,846,,580,,0,,0,,750,,31.9
2000,Total Regions,,,652,,195,,103,,950,,543,,0,,0,,794,,1251.1
,  Northland Region,,,436,,169,,132,,736,,289,,0,,0,,593,,45.6
,  Auckland Region,,,752,,247,,97,,1097,,616,,0,,0,,921,,384.1
,  Waikato Region,,,603,,183,,102,,892,,500,,0,,0,,770,,119.8
,  Bay of Plenty Region,,,537,,149,,129,,815,,438,,0,,0,,692,,79.9
,  Gisborne/Hawkes Bay Regions,,,590,,140,,128,,856,,520,,0,,0,,750,,59.9
,  Taranaki Region,,,509,,181,,124,,811,,356,,0,,0,,686,,35
,  Manawatu-Wanganui Region,,,520,,135,,124,,774,,423,,0,,0,,614,,73.3
,  Wellington Region,,,830,,199,,88,,1114,,717,,0,,0,,950,,144.6
,  Tasman/Nelson/Marlborough/West Coast Regions,,,579,,155,,95,,828,,512,,0,,0,,745,,51.9
,  Canterbury Region,,,620,,185,,96,,900,,556,,0,,0,,760,,164.9
,  Otago Region,,,525,,146,,103,,774,,410,,0,,0,,654,,61.3
,  Southland Region,,,538,,218,,83,,834,,505,,0,,0,,702,,30.9
2001,Total Regions,,,708,,207,,98,,1012,,595,,0,,0,,845,,1260.7
,  Northland Region,,,452,,192,,142,,786,,200,,0,,0,,634,,47.8
,  Auckland Region,,,830,,241,,91,,1162,,680,,0,,0,,955,,381.7
,  Waikato Region,,,605,,220,,96,,921,,531,,0,,0,,806,,119.6
,  Bay of Plenty Region,,,566,,201,,134,,899,,460,,0,,0,,729,,77.6
,  Gisborne/Hawkes Bay Regions,,,630,,127,,120,,879,,547,,0,,0,,734,,62.9
,  Taranaki Region,,,569,,218,,106,,893,,420,,0,,0,,729,,35.6
,  Manawatu-Wanganui Region,,,564,,179,,117,,861,,480,,0,,0,,719,,74.9
,  Wellington Region,,,902,,196,,80,,1177,,812,,0,,0,,1026,,147.4
,  Tasman/Nelson/Marlborough/West Coast Regions,,,640,,176,,91,,908,,575,,0,,0,,825,,52.6
,  Canterbury Region,,,678,,170,,84,,934,,612,,0,,0,,831,,167.3
,  Otago Region,,,588,,175,,99,,859,,499,,0,,0,,734,,63.1
,  Southland Region,,,605,,346,,92,,1042,,500,,0,,0,,850,,30.3
2002,Total Regions,,,738,,230,,99,,1063,,620,,0,,0,,891,,1276.9
,  Northland Region,,,505,,213,,138,,846,,338,,0,,0,,660,,46.7
,  Auckland Region,,,844,,270,,98,,1206,,710,,0,,0,,1034,,395.5
,  Waikato Region,,,671,,233,,99,,999,,590,,0,,0,,864,,121.9
,  Bay of Plenty Region,,,617,,184,,127,,925,,524,,0,,0,,767,,79.7
,  Gisborne/Hawkes Bay Regions,,,635,,150,,117,,902,,575,,0,,0,,786,,64.5
,  Taranaki Region,,,637,,235,,91,,956,,503,,0,,0,,774,,35.2
,  Manawatu-Wanganui Region,,,591,,175,,109,,876,,497,,0,,0,,711,,76.4
,  Wellington Region,,,901,,235,,82,,1213,,786,,0,,0,,1036,,149.3
,  Tasman/Nelson/Marlborough/West Coast Regions,,,624,,247,,89,,961,,572,,0,,0,,859,,53
,  Canterbury Region,,,745,,207,,84,,1034,,663,,0,,0,,865,,161.1
,  Otago Region,,,610,,187,,97,,893,,495,,0,,0,,775,,63.3
,  Southland Region,,,627,,299,,89,,1011,,566,,0,,0,,895,,30.3
2003,Total Regions,,,776,,242,,96,,1110,,642,,0,,0,,912,,1312.5
,  Northland Region,,,534,,231,,136,,899,,410,,0,,0,,761,,47.8
,  Auckland Region,,,899,,279,,93,,1264,,691,,0,,0,,1030,,412.8
,  Waikato Region,,,731,,190,,96,,1017,,633,,0,,0,,896,,126.4
,  Bay of Plenty Region,,,630,,245,,129,,1001,,532,,0,,0,,819,,80
,  Gisborne/Hawkes Bay Regions,,,671,,198,,108,,975,,614,,0,,0,,824,,64.5
,  Taranaki Region,,,677,,291,,87,,1044,,576,,0,,0,,900,,35
,  Manawatu-Wanganui Region,,,600,,212,,107,,918,,531,,0,,0,,724,,76.3
,  Wellington Region,,,920,,216,,85,,1218,,798,,0,,0,,1017,,153.5
,  Tasman/Nelson/Marlborough/West Coast Regions,,,652,,220,,97,,963,,600,,0,,0,,863,,53.4
,  Canterbury Region,,,761,,238,,82,,1081,,690,,0,,0,,952,,166.8
,  Otago Region,,,642,,196,,100,,937,,540,,0,,0,,769,,65.6
,  Southland Region,,,692,,353,,92,,1137,,620,,0,,0,,936,,30.5
2004,Total Regions,,,808,,252,,99,,1157,,690,,0,,0,,959,,1341
,  Northland Region,,,560,,244,,123,,925,,415,,0,,0,,767,,46.5
,  Auckland Region,,,916,,347,,100,,1362,,750,,0,,0,,1072,,428.7
,  Waikato Region,,,770,,216,,94,,1081,,671,,0,,0,,882,,127.2
,  Bay of Plenty Region,,,660,,221,,124,,1001,,552,,0,,0,,863,,80.3
,  Gisborne/Hawkes Bay Regions,,,711,,142,,123,,972,,630,,0,,0,,852,,65
,  Taranaki Region,,,732,,156,,111,,996,,656,,0,,0,,850,,35.2
,  Manawatu-Wanganui Region,,,732,,179,,103,,1008,,652,,0,,0,,875,,73.6
,  Wellington Region,,,908,,194,,89,,1187,,808,,0,,0,,1050,,156.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,681,,251,,94,,1022,,550,,0,,0,,863,,54.3
,  Canterbury Region,,,801,,228,,81,,1112,,729,,0,,0,,959,,176.3
,  Otago Region,,,708,,170,,98,,973,,588,,0,,0,,815,,66.2
,  Southland Region,,,662,,311,,88,,1048,,575,,0,,0,,900,,31.5
2005,Total Regions,,,882,,234,,92,,1208,,760,,0,,0,,1017,,1357.9
,  Northland Region,,,647,,309,,117,,1074,,552,,0,,0,,850,,48.7
,  Auckland Region,,,987,,285,,92,,1365,,810,,0,,0,,1120,,433.6
,  Waikato Region,,,802,,247,,90,,1141,,719,,0,,0,,997,,127.7
,  Bay of Plenty Region,,,691,,243,,93,,1025,,600,,0,,0,,915,,78
,  Gisborne/Hawkes Bay Regions,,,734,,171,,113,,1016,,657,,0,,0,,900,,65.7
,  Taranaki Region,,,799,,242,,90,,1132,,710,,0,,0,,993,,34.8
,  Manawatu-Wanganui Region,,,770,,154,,100,,1026,,684,,0,,0,,909,,76.1
,  Wellington Region,,,964,,194,,90,,1251,,863,,0,,0,,1074,,156.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,775,,264,,88,,1124,,679,,0,,0,,946,,56.8
,  Canterbury Region,,,968,,168,,81,,1217,,856,,0,,0,,1074,,179.2
,  Otago Region,,,777,,193,,85,,1053,,652,,0,,0,,863,,69.2
,  Southland Region,,,777,,257,,84,,1118,,700,,0,,0,,960,,32
2006,Total Regions,,,937,,213,,99,,1248,,800,,0,,0,,1080,,1381.3
,  Northland Region,,,665,,274,,123,,1055,,547,,0,,0,,945,,49.2
,  Auckland Region,,,1031,,216,,95,,1344,,868,,0,,0,,1166,,440.6
,  Waikato Region,,,827,,260,,103,,1192,,747,,0,,0,,1074,,130.3
,  Bay of Plenty Region,,,803,,190,,116,,1107,,690,,0,,0,,959,,84.3
,  Gisborne/Hawkes Bay Regions,,,838,,195,,101,,1129,,767,,0,,0,,1019,,64.4
,  Taranaki Region,,,882,,235,,89,,1206,,766,,0,,0,,1055,,35.1
,  Manawatu-Wanganui Region,,,767,,146,,108,,1023,,700,,0,,0,,910,,77.7
,  Wellington Region,,,1093,,170,,98,,1360,,938,,0,,0,,1168,,156.1
,  Tasman/Nelson/Marlborough/West Coast Regions,,,843,,232,,99,,1163,,731,,0,,0,,1051,,55.5
,  Canterbury Region,,,977,,233,,94,,1300,,863,,0,,0,,1106,,186.8
,  Otago Region,,,866,,202,,93,,1161,,738,,0,,0,,960,,68.5
